mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
33.0,4,91.0,53.0,1795,17.4,76,3,33.0,12.733402252197266
28.0,4,120.0,79.0,2625,18.6,82,1,28.0,25.674800872802734
19.0,6,232.0,100.0,2634,13.0,71,1,19.0,8.509700775146484
13.0,8,318.0,150.0,3940,13.2,76,1,13.0,19.591197967529297
14.0,8,318.0,150.0,4237,14.5,73,1,14.0,28.217235565185547
27.0,4,97.0,88.0,2100,16.5,72,3,27.0,10.60940170288086
24.0,4,140.0,92.0,2865,16.4,82,1,24.0,26.532344818115234
13.0,8,440.0,215.0,4735,11.0,73,1,13.0,11.127269744873047
17.0,8,260.0,110.0,4060,19.0,77,1,17.0,40.362361907958984
21.0,6,200.0,93.5,2875,17.0,74,1,21.0,19.932064056396484
15.0,8,390.0,190.0,3850,8.5,70,1,15.0,-1.0765875577926636
38.0,4,91.0,67.0,1965,15.0,82,3,38.0,12.55312728881836
26.0,4,91.0,70.0,1955,20.5,71,1,26.0,13.702831268310547
15.0,8,304.0,150.0,3892,12.5,72,1,15.0,19.986141204833984
25.0,4,140.0,75.0,2542,17.0,74,1,25.0,23.52322006225586
12.0,8,383.0,180.0,4955,11.5,71,1,12.0,33.27497482299805
31.0,4,112.0,85.0,2575,16.2,82,1,31.0,23.17348861694336
17.0,6,163.0,125.0,3140,13.6,78,2,17.0,20.336650848388672
16.0,8,400.0,180.0,4220,11.1,77,1,16.0,10.570491790771484
31.0,4,91.0,68.0,1970,17.6,82,3,31.0,12.46523666381836
22.0,4,121.0,76.0,2511,18.0,72,2,22.0,23.905025482177734
22.0,6,198.0,95.0,2833,15.5,70,1,22.0,18.90035629272461
22.0,6,232.0,112.0,2835,14.7,82,1,22.0,9.35403060913086
33.5,4,98.0,83.0,2075,15.9,77,1,33.5,11.714794158935547
18.0,8,307.0,130.0,3504,12.0,70,1,18.0,15.095897674560547
44.0,4,97.0,52.0,2130,24.6,82,2,44.0,21.811595916748047
26.0,4,98.0,90.0,2265,15.5,73,2,26.0,14.852840423583984
24.5,4,151.0,88.0,2740,16.0,77,1,24.5,23.758953094482422
18.1,6,258.0,120.0,3410,15.1,78,1,18.100000381469727,20.972789764404297
12.0,8,400.0,167.0,4906,12.5,73,1,12.0,34.0138053894043
27.0,4,140.0,86.0,2790,15.6,82,1,27.0,26.217357635498047
36.0,4,105.0,74.0,1980,15.3,82,2,36.0,10.058963775634766
23.0,8,350.0,125.0,3900,17.4,79,1,23.0,22.741527557373047
24.0,4,113.0,95.0,2278,15.5,72,3,24.0,11.943218231201172
37.2,4,86.0,65.0,2019,16.4,80,3,37.20000076293945,15.37899398803711
16.0,8,400.0,230.0,4278,9.5,73,1,16.0,-2.3640174865722656
